# 🛡️ Detection Validation Report

Generated at: 2026-04-24T14:55:48.651Z

| ID | Query | Matches | Result |
|----|-------|---------|--------|
| 1 | `((event.category: (network OR email) AND url.extension: ("zip" OR "iso" OR "img" OR "vhd") AND (NOT source.ip: ("10.0.0.0/8" OR "172.16.0.0/12" OR "192.168.0.0/16") OR NOT destination.ip: ("10.0.0.0/8" OR "172.16.0.0/12" OR "192.168.0.0/16"))) OR (email.attachment.name: (*.zip AND *password*) OR email.body: (*password* AND (*.zip OR *.iso))))` | 0 | ❌ NOT FOUND |
| 2 | `event.provider: "Microsoft-Windows-VHDMP" AND winlog.event_id: 1 AND event.action: "Attached virtual disk"` | 0 | ❌ NOT FOUND |
| 3 | `event.provider: "Microsoft-Windows-Shell-Core" AND winlog.event_id: 9827 AND (event.action: "Virtual Drive Event" OR event.action: "Mount event")` | 0 | ❌ NOT FOUND |
| 4 | `winlog.channel: "Microsoft-Windows-Kernel-General" AND winlog.event_id: 10 AND winlog.event_data.VolumeName: "*" AND winlog.event_data.DriveLetter: "*"` | 0 | ❌ NOT FOUND |
| 5 | `event.provider: "Microsoft-Windows-Sysmon" AND winlog.event_id: 11 AND file.extension: ("iso" OR "img" OR "vhd") AND file.path: ("C:\\Users\\*\\Downloads\\*.iso" OR "C:\\Users\\*\\Downloads\\*.img" OR "C:\\Users\\*\\Downloads\\*.vhd" OR "C:\\Users\\*\\AppData\\Local\\Temp\\*.iso" OR "C:\\Users\\*\\AppData\\Local\\Temp\\*.img" OR "C:\\Users\\*\\AppData\\Local\\Temp\\*.vhd")` | 0 | ❌ NOT FOUND |
| 6 | `event.category: "process" AND event.type: "start" AND process.name: "explorer.exe" AND process.command_line: "*mount*" AND file.path: "*.iso"` | 0 | ❌ NOT FOUND |
| 7 | `event.category: "process" AND event.type: "start" AND process.executable: ("cmd.exe" OR "powershell.exe" OR "pwsh.exe" OR "rundll32.exe" OR "mshta.exe" OR "wscript.exe" OR "cscript.exe" OR "msiexec.exe" OR "regsvr32.exe") AND process.command_line: (("*.lnk*" OR "*.dll*") AND ("D:\\*" OR "E:\\*" OR "F:\\*" OR "G:\\*" OR "H:\\*" OR "I:\\*" OR "J:\\*" OR "K:\\*")) AND NOT process.command_line: "C:\\Windows\\System32\\*" AND NOT process.parent.executable: ("C:\\Windows\\explorer.exe" AND process.command_line: "*\\system32\\dvd_icon.dll*")` | 0 | ❌ NOT FOUND |
| 8 | `event.category: "process" AND event.type: "start" AND process.parent.executable: "explorer.exe" AND process.executable: ("cmd.exe" OR "powershell.exe" OR "pwsh.exe" OR "rundll32.exe" OR "mshta.exe" OR "wscript.exe" OR "cscript.exe") AND process.executable.path: ("D:\\*" OR "E:\\*" OR "F:\\*" OR "G:\\*" OR "H:\\*" OR "I:\\*" OR "J:\\*" OR "K:\\*") AND NOT process.command_line: ("*\\system32\\dvd_icon.dll*" OR "*.lnk" OR "*\\windows\\system32\\vsc.exe")` | 0 | ❌ NOT FOUND |
| 9 | `event.provider: "Microsoft-Windows-Sysmon" AND winlog.event_id: 7 AND dll.path: ("D:\\*.dll" OR "E:\\*.dll" OR "F:\\*.dll" OR "G:\\*.dll" OR "H:\\*.dll" OR "I:\\*.dll" OR "J:\\*.dll" OR "K:\\*.dll") AND NOT dll.path: "C:\\Windows\\System32\\*"` | 0 | ❌ NOT FOUND |
